"Age-Range","Car","Income","Color"
"Middle","Sedan","Low","Red"
"Middle","Sedan","High","Blue"
"Young","Sedan","Hihg","Blue"
"Old","Sedan","Low","Red"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"
"Middle","Seddan","High","Green"
"Young","Sports","Low","Green"
"Midle","Sedan","High","Green"
"Young","Sports","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Old","Sedan","Low","Red"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"
"Young","Sports","High","Red"
"Young","Sports","Low","Blue"

